run aouts_lambda aktt_lambda effect observed mean sd t_ratio
30 3.0 4.0 Arc 1079 1058.57 39.65591 -0.5151818 
31 3.0 4.5 AltInStars.2. 634.698 615.5951 40.50113 -0.4716639 
31 3.0 4.5 AltKTrianglesT.4.5. 71.8889 30.73606 9.000151 -4.572461 
31 3.0 4.5 AltOutStars.3. 2380.54 2336.049 87.50537 -0.5084339 
31 3.0 4.5 AltTwoPathsT.4.5. 384 302.4351 46.46296 -1.755483 
31 3.0 4.5 Arc 1079 1064.83 32.49804 -0.4360264 
32 3.0 5.0 AltInStars.2. 634.698 615.1811 46.11345 -0.4232366 
32 3.0 5.0 AltKTrianglesT.5. 72 28.75 8.350183 -5.179527 
32 3.0 5.0 AltOutStars.3. 2380.54 2334.258 98.05641 -0.4719946 
32 3.0 5.0 AltTwoPathsT.5. 384.2 286.974 51.78903 -1.877348 
32 3.0 5.0 Arc 1079 1063.57 39.07756 -0.3948558 
33 3.5 1.5 AltInStars.2. 634.698 659.7652 54.00313 0.4641799 
33 3.5 1.5 AltKTrianglesT.1.5. 69.6667 93.53774 25.50424 0.9359639 
33 3.5 1.5 AltOutStars.3.5. 2675.38 2746.432 141.1766 0.5032839 
33 3.5 1.5 AltTwoPathsT.1.5. 380 429.7311 74.15525 0.670635 
33 3.5 1.5 Arc 1079 1098.64 46.6044 0.4214194 
34 3.5 2.0 AltInStars.2. 634.698 671.6192 57.2331 0.6451019 
34 3.5 2.0 AltKTrianglesT.2. 70.5 121.435 54.89271 0.9279011 
34 3.5 2.0 AltOutStars.3.5. 2675.38 2783.041 152.821 0.7044895 
34 3.5 2.0 AltTwoPathsT.2. 381.5 480.435 113.7165 0.8700148 
34 3.5 2.0 Arc 1079 1107.08 46.30917 0.6063594 
35 3.5 2.5 AltInStars.2. 634.698 623.6835 55.25539 -0.1993378 
35 3.5 2.5 AltKTrianglesT.2.5. 71 60.724 11.99868 -0.8564276 
35 3.5 2.5 AltOutStars.3.5. 2675.38 2643.599 139.7384 -0.2274308 
35 3.5 2.5 AltTwoPathsT.2.5. 382.4 353.284 57.85985 -0.5032159 
35 3.5 2.5 Arc 1079 1068.83 46.68421 -0.2178467 
36 3.5 3.0 AltInStars.2. 634.698 623.3696 46.21906 -0.2451019 
36 3.5 3.0 AltKTrianglesT.3. 71.3333 44.08889 13.0149 -2.093324 
36 3.5 3.0 AltOutStars.3.5. 2675.38 2638.55 121.4273 -0.3033124 
36 3.5 3.0 AltTwoPathsT.3. 383 322.85 55.01232 -1.093391 
36 3.5 3.0 Arc 1079 1070.16 37.94247 -0.2329843 
37 3.5 3.5 AltInStars.2. 634.698 642.6969 59.31699 0.1348497 
37 3.5 3.5 AltKTrianglesT.3.5. 71.5714 70.58776 25.34378 -0.03881185 
37 3.5 3.5 AltOutStars.3.5. 2675.38 2701.727 153.7733 0.1713354 
37 3.5 3.5 AltTwoPathsT.3.5. 383.429 379.3591 67.04966 -0.06069904 
37 3.5 3.5 Arc 1079 1084.93 50.39907 0.1176609 
38 3.5 4.0 AltInStars.2. 634.698 773.6352 251.5178 0.5523951 
38 3.5 4.0 AltKTrianglesT.4. 71.75 320.88 446.4526 0.5580212 
